Country,Total Cases,Cases,Total Deaths,Deaths,Total Recovered,Serious,Tested,Active Cases,Date
Afghanistan,2171,232,64.0,4,260.0,7.0,10022.0,1847.0,2020-05-01
Iraq,2085,82,93.0,1,1375.0,0.0,92061.0,617.0,2020-05-01
Croatia,2076,14,69.0,2,1348.0,20.0,36221.0,659.0,2020-05-01
Ghana,2074,403,17.0,1,212.0,4.0,113497.0,1845.0,2020-05-01
Armenia,2066,134,32.0,2,929.0,10.0,21125.0,1105.0,2020-05-01
Uzbekistan,2039,37,9.0,0,1133.0,8.0,242536.0,897.0,2020-05-01
Nigeria,1932,204,58.0,7,319.0,2.0,12828.0,1555.0,2020-05-01
Cameroon,1832,0,61.0,0,934.0,12.0,0.0,837.0,2020-05-01
Azerbaijan,1804,38,24.0,1,1325.0,17.0,143079.0,455.0,2020-05-01
Iceland,1797,0,10.0,0,1670.0,0.0,48413.0,117.0,2020-05-01
Bosnia and Herzegovina,1757,80,69.0,4,727.0,4.0,30793.0,961.0,2020-05-01
Estonia,1689,23,52.0,2,249.0,9.0,52741.0,1388.0,2020-05-01
Bulgaria,1506,59,66.0,2,266.0,40.0,45208.0,1174.0,2020-05-01
Cuba,1501,34,61.0,3,681.0,10.0,47347.0,759.0,2020-05-01
Guinea,1495,144,7.0,0,329.0,0.0,0.0,1159.0,2020-05-01
New Zealand,1476,2,19.0,0,1241.0,1.0,134570.0,216.0,2020-05-01
North Macedonia,1465,23,77.0,4,738.0,13.0,16050.0,650.0,2020-05-01
Slovenia,1429,11,91.0,2,233.0,22.0,52948.0,1105.0,2020-05-01
Slovakia,1396,5,23.0,1,524.0,8.0,85922.0,849.0,2020-05-01
Lithuania,1385,10,45.0,0,589.0,17.0,125555.0,751.0,2020-05-01
Ivory Coast,1275,37,14.0,0,574.0,0.0,9657.0,687.0,2020-05-01
Bolivia,1110,57,59.0,4,117.0,3.0,5791.0,934.0,2020-05-01
Djibouti,1089,12,2.0,0,642.0,0.0,13422.0,445.0,2020-05-01
Hong Kong,1038,0,4.0,0,846.0,4.0,154989.0,188.0,2020-05-01
Tunisia,994,14,41.0,1,305.0,24.0,22957.0,648.0,2020-05-01
Senegal,933,51,9.0,0,334.0,1.0,466.0,590.0,2020-05-01
Latvia,858,9,15.0,0,348.0,3.0,57886.0,495.0,2020-05-01
Cyprus,850,7,15.0,0,296.0,15.0,58109.0,539.0,2020-05-01
Albania,773,7,31.0,1,470.0,4.0,8253.0,272.0,2020-05-01
Honduras,771,33,71.0,5,79.0,10.0,3643.0,621.0,2020-05-01
Kyrgyzstan,746,17,8.0,0,462.0,12.0,51472.0,276.0,2020-05-01
Andorra,745,2,42.0,0,468.0,17.0,1673.0,235.0,2020-05-01
Lebanon,725,4,24.0,0,150.0,44.0,34499.0,551.0,2020-05-01
Niger,719,6,32.0,0,452.0,0.0,5194.0,235.0,2020-05-01
Costa Rica,719,6,6.0,0,338.0,8.0,13240.0,375.0,2020-05-01
Diamond Princess,712,0,13.0,0,645.0,4.0,0.0,54.0,2020-05-01
Sri Lanka,663,14,7.0,0,154.0,1.0,21157.0,502.0,2020-05-01
Burkina Faso,645,4,43.0,0,506.0,0.0,0.0,96.0,2020-05-01
Uruguay,643,18,17.0,2,417.0,10.0,19747.0,209.0,2020-05-01
Somalia,601,19,28.0,0,31.0,2.0,0.0,542.0,2020-05-01
Guatemala,585,28,16.0,0,65.0,5.0,7200.0,504.0,2020-05-01
DRC,572,81,31.0,1,65.0,0.0,0.0,476.0,2020-05-01
San Marino,569,6,41.0,0,78.0,6.0,2305.0,450.0,2020-05-01
Georgia,539,22,6.0,0,184.0,6.0,14718.0,349.0,2020-05-01
Mayotte,539,79,4.0,0,235.0,4.0,3000.0,300.0,2020-05-01
Channel Islands,537,0,40.0,2,386.0,0.0,5342.0,111.0,2020-05-01
Mali,490,8,26.0,1,135.0,0.0,2172.0,329.0,2020-05-01
Tanzania,480,0,16.0,0,167.0,7.0,0.0,297.0,2020-05-01
Maldives,468,190,1.0,0,17.0,2.0,8008.0,450.0,2020-05-01
Malta,465,2,4.0,0,351.0,1.0,32989.0,110.0,2020-05-01
Jordan,453,2,8.0,0,362.0,5.0,63737.0,83.0,2020-05-01
Sudan,442,67,31.0,3,39.0,0.0,0.0,372.0,2020-05-01
Taiwan,429,0,6.0,0,322.0,0.0,62844.0,101.0,2020-05-01
Réunion,420,0,0.0,0,300.0,2.0,0.0,120.0,2020-05-01
Kenya,396,12,17.0,2,144.0,2.0,20268.0,235.0,2020-05-01
Jamaica,396,0,7.0,0,29.0,3.0,3993.0,360.0,2020-05-01
El Salvador,395,18,10.0,1,119.0,3.0,24057.0,266.0,2020-05-01
Palestine,344,0,2.0,0,76.0,0.0,32200.0,266.0,2020-05-01
Venezuela,333,2,10.0,0,142.0,2.0,458737.0,181.0,2020-05-01
Mauritius,332,0,10.0,0,310.0,3.0,16028.0,12.0,2020-05-01
Montenegro,322,0,7.0,0,214.0,2.0,6864.0,101.0,2020-05-01
Isle of Man,315,2,21.0,0,260.0,21.0,3117.0,34.0,2020-05-01
Equatorial Guinea,315,0,1.0,0,9.0,0.0,854.0,305.0,2020-05-01
Gabon,276,0,3.0,0,67.0,1.0,724.0,206.0,2020-05-01
Vietnam,270,0,0.0,0,219.0,8.0,261004.0,51.0,2020-05-01
Paraguay,249,10,9.0,0,111.0,1.0,9454.0,129.0,2020-05-01
Rwanda,243,18,0.0,0,104.0,0.0,9604.0,139.0,2020-05-01
Congo,220,13,9.0,1,19.0,0.0,0.0,192.0,2020-05-01
Guinea-Bissau,205,0,1.0,0,19.0,0.0,1500.0,185.0,2020-05-01
Faeroe Islands,187,0,0.0,0,184.0,0.0,6963.0,3.0,2020-05-01
Martinique,178,3,14.0,0,83.0,5.0,0.0,81.0,2020-05-01
Guadeloupe,151,2,12.0,0,95.0,11.0,0.0,44.0,2020-05-01
Myanmar,150,0,6.0,0,27.0,0.0,7718.0,117.0,2020-05-01
Gibraltar,144,3,0.0,0,131.0,0.0,2626.0,13.0,2020-05-01
Liberia,141,0,16.0,0,45.0,0.0,0.0,80.0,2020-05-01
Brunei,138,0,1.0,0,124.0,2.0,13580.0,13.0,2020-05-01
Ethiopia,131,1,3.0,0,59.0,0.0,17842.0,69.0,2020-05-01
Madagascar,128,0,0.0,0,92.0,1.0,3228.0,36.0,2020-05-01
French Guiana,126,1,1.0,0,94.0,2.0,0.0,31.0,2020-05-01
Sierra Leone,124,20,7.0,3,21.0,0.0,0.0,96.0,2020-05-01
Cambodia,122,0,0.0,0,119.0,1.0,11975.0,3.0,2020-05-01
Cabo Verde,121,8,1.0,0,4.0,0.0,791.0,116.0,2020-05-01
Togo,116,7,9.0,2,65.0,0.0,6882.0,42.0,2020-05-01
Trinidad and Tobago,116,0,8.0,0,72.0,0.0,1730.0,36.0,2020-05-01
Bermuda,114,3,6.0,0,48.0,4.0,2500.0,60.0,2020-05-01
Zambia,106,9,3.0,0,55.0,1.0,5284.0,48.0,2020-05-01
Aruba,100,0,2.0,0,79.0,4.0,1691.0,19.0,2020-05-01
Eswatini,100,9,1.0,0,12.0,0.0,714.0,87.0,2020-05-01
Monaco,95,0,4.0,0,64.0,1.0,0.0,27.0,2020-05-01
Uganda,83,2,0.0,0,52.0,0.0,29279.0,31.0,2020-05-01
Guyana,82,8,9.0,1,22.0,2.0,579.0,51.0,2020-05-01
Liechtenstein,82,0,1.0,0,55.0,0.0,900.0,26.0,2020-05-01
Bahamas,81,1,11.0,0,25.0,1.0,1284.0,45.0,2020-05-01
Haiti,81,5,8.0,2,8.0,0.0,827.0,65.0,2020-05-01
Barbados,81,1,7.0,0,39.0,4.0,2160.0,35.0,2020-05-01
Mozambique,76,0,0.0,0,12.0,0.0,1896.0,64.0,2020-05-01
Sint Maarten,75,0,13.0,0,33.0,7.0,302.0,29.0,2020-05-01
Chad,73,21,5.0,3,33.0,0.0,0.0,35.0,2020-05-01
Cayman Islands,73,0,1.0,0,10.0,3.0,1535.0,62.0,2020-05-01
Benin,64,0,1.0,0,33.0,0.0,0.0,30.0,2020-05-01
Libya,61,0,3.0,1,18.0,0.0,1949.0,40.0,2020-05-01
French Polynesia,58,0,0.0,0,50.0,1.0,2409.0,8.0,2020-05-01
Nepal,57,0,0.0,0,16.0,0.0,57189.0,41.0,2020-05-01
CAR,50,0,0.0,0,10.0,0.0,0.0,40.0,2020-05-01
Macao,45,0,0.0,0,35.0,1.0,0.0,10.0,2020-05-01
Syria,43,0,3.0,0,21.0,0.0,0.0,19.0,2020-05-01
Zimbabwe,40,8,4.0,0,5.0,0.0,7642.0,31.0,2020-05-01
Eritrea,39,0,0.0,0,26.0,0.0,0.0,13.0,2020-05-01
Saint Martin,38,0,3.0,0,24.0,3.0,0.0,11.0,2020-05-01
Mongolia,38,0,0.0,0,10.0,0.0,7455.0,28.0,2020-05-01
Malawi,37,1,3.0,0,7.0,1.0,774.0,27.0,2020-05-01
South Sudan,35,1,0.0,0,0.0,0.0,0.0,35.0,2020-05-01
Angola,27,0,2.0,0,7.0,0.0,0.0,18.0,2020-05-01
Antigua and Barbuda,24,0,3.0,0,11.0,1.0,113.0,10.0,2020-05-01
Timor-Leste,24,0,0.0,0,16.0,0.0,322.0,8.0,2020-05-01
Botswana,23,0,1.0,0,5.0,0.0,6548.0,17.0,2020-05-01
Grenada,20,0,0.0,0,13.0,4.0,1406.0,7.0,2020-05-01
Laos,19,0,0.0,0,8.0,0.0,1927.0,11.0,2020-05-01
Belize,18,0,2.0,0,9.0,1.0,995.0,7.0,2020-05-01
Fiji,18,0,0.0,0,12.0,0.0,1007.0,6.0,2020-05-01
New Caledonia,18,0,0.0,0,17.0,1.0,4456.0,1.0,2020-05-01
Saint Lucia,17,0,0.0,0,15.0,0.0,446.0,2.0,2020-05-01
Curaçao,16,0,1.0,0,13.0,0.0,343.0,2.0,2020-05-01
Dominica,16,0,0.0,0,13.0,0.0,383.0,3.0,2020-05-01
Namibia,16,0,0.0,0,8.0,0.0,704.0,8.0,2020-05-01
St. Vincent Grenadines,16,0,0.0,0,8.0,0.0,108.0,8.0,2020-05-01
Saint Kitts and Nevis,15,0,0.0,0,6.0,0.0,293.0,9.0,2020-05-01
Tajikistan,15,15,0.0,0,0.0,0.0,0.0,15.0,2020-05-01
Nicaragua,14,1,3.0,0,7.0,0.0,0.0,4.0,2020-05-01
Sao Tome and Principe,14,6,0.0,0,4.0,0.0,19.0,10.0,2020-05-01
Falkland Islands,13,0,0.0,0,11.0,0.0,372.0,2.0,2020-05-01
Turks and Caicos,12,0,1.0,0,5.0,0.0,83.0,6.0,2020-05-01
Burundi,11,0,1.0,0,4.0,0.0,284.0,6.0,2020-05-01
Gambia,11,1,1.0,0,8.0,0.0,401.0,2.0,2020-05-01
Montserrat,11,0,1.0,0,2.0,1.0,36.0,8.0,2020-05-01
Greenland,11,0,0.0,0,11.0,0.0,1258.0,0.0,2020-05-01
Vatican City,11,1,0.0,0,2.0,0.0,0.0,9.0,2020-05-01
Seychelles,11,0,0.0,0,6.0,0.0,0.0,5.0,2020-05-01
Suriname,10,0,1.0,0,8.0,0.0,404.0,1.0,2020-05-01
MS Zaandam,9,0,2.0,0,0.0,0.0,0.0,7.0,2020-05-01
Mauritania,8,0,1.0,0,6.0,0.0,1032.0,1.0,2020-05-01
Papua New Guinea,8,0,0.0,0,0.0,0.0,604.0,8.0,2020-05-01
Bhutan,7,0,0.0,0,5.0,0.0,10045.0,2.0,2020-05-01
Yemen,6,0,2.0,2,1.0,0.0,120.0,3.0,2020-05-01
British Virgin Islands,6,0,1.0,0,3.0,0.0,0.0,2.0,2020-05-01
St. Barth,6,0,0.0,0,6.0,0.0,0.0,0.0,2020-05-01
Western Sahara,6,0,0.0,0,5.0,0.0,0.0,1.0,2020-05-01
Caribbean Netherlands,5,0,0.0,0,0.0,0.0,110.0,5.0,2020-05-01
Anguilla,3,0,0.0,0,3.0,0.0,0.0,0.0,2020-05-01
Comoros,1,1,0.0,0,0.0,0.0,0.0,1.0,2020-05-01
Saint Pierre Miquelon,1,0,0.0,0,0.0,0.0,0.0,1.0,2020-05-01
Total:,3303921,85738,233824.0,5795,1039029.0,50956.0,0.0,2031068.0,2020-05-01
World,3398094,94550,239448.0,5624,1080075.0,51355.0,0.0,2078571.0,2020-05-02
China,82874,12,4633.0,0,77642.0,38.0,0.0,599.0,2020-05-02
USA,1131030,36007,65753.0,1897,161563.0,16481.0,6699878.0,903714.0,2020-05-02
Spain,242979,3639,24824.0,281,142441.0,2500.0,1528833.0,75714.0,2020-05-02
Italy,207428,1965,28236.0,269,78249.0,1578.0,2053425.0,100943.0,2020-05-02
UK,177454,6201,27510.0,739,0.0,1559.0,1023824.0,149600.0,2020-05-02
France,167346,168,24594.0,218,50212.0,3878.0,1100228.0,92540.0,2020-05-02
Germany,164077,1068,6736.0,113,126900.0,2189.0,2547052.0,30441.0,2020-05-02
Turkey,122392,2188,3258.0,84,53808.0,1480.0,1075048.0,65326.0,2020-05-02
Russia,114431,7933,1169.0,96,13220.0,2300.0,3700000.0,100042.0,2020-05-02
Iran,95646,1006,6091.0,63,76318.0,2899.0,475023.0,13237.0,2020-05-02
Brazil,92109,6729,6410.0,509,38039.0,8318.0,339552.0,47660.0,2020-05-02
Canada,55061,1825,3391.0,207,22751.0,557.0,832222.0,28919.0,2020-05-02
Belgium,49032,513,7703.0,109,11892.0,740.0,253198.0,29437.0,2020-05-02
Peru,40459,3483,1124.0,73,11129.0,658.0,342498.0,28206.0,2020-05-02
Netherlands,39791,475,4893.0,98,0.0,735.0,225899.0,34648.0,2020-05-02
India,37257,2394,1223.0,69,10007.0,0.0,902654.0,26027.0,2020-05-02
Switzerland,29705,119,1754.0,17,23900.0,167.0,271500.0,4051.0,2020-05-02
Ecuador,26336,1402,1063.0,163,1913.0,149.0,71950.0,23360.0,2020-05-02
Portugal,24987,313,1007.0,18,1647.0,154.0,409961.0,22333.0,2020-05-02
Saudi Arabia,24097,1344,169.0,7,3555.0,117.0,326955.0,20373.0,2020-05-02
Sweden,21520,428,2653.0,67,1005.0,531.0,119500.0,17862.0,2020-05-02
Ireland,20833,221,1265.0,33,13386.0,123.0,153954.0,6182.0,2020-05-02
Mexico,19224,1425,1859.0,127,11423.0,378.0,81912.0,5942.0,2020-05-02
Pakistan,18092,1619,417.0,56,4351.0,111.0,182131.0,13324.0,2020-05-02
Singapore,17101,932,16.0,1,1268.0,23.0,143919.0,15817.0,2020-05-02
Chile,17008,985,234.0,7,9018.0,392.0,189433.0,7756.0,2020-05-02
Israel,16101,155,225.0,3,9156.0,103.0,364467.0,6720.0,2020-05-02
Austria,15531,79,589.0,5,13110.0,124.0,264079.0,1832.0,2020-05-02
Belarus,14917,890,93.0,4,2918.0,92.0,186262.0,11906.0,2020-05-02
Japan,14305,217,455.0,25,2975.0,328.0,174150.0,10875.0,2020-05-02
Qatar,14096,687,12.0,2,1436.0,72.0,97726.0,12648.0,2020-05-02
Poland,13105,228,651.0,7,3491.0,160.0,354628.0,8963.0,2020-05-02
UAE,13038,557,111.0,6,2543.0,1.0,1200000.0,10384.0,2020-05-02
Romania,12567,327,744.0,27,4328.0,249.0,183688.0,7495.0,2020-05-02
Ukraine,10861,455,272.0,11,1413.0,143.0,118545.0,9176.0,2020-05-02
S. Korea,10774,9,248.0,1,9072.0,55.0,623069.0,1454.0,2020-05-02
Indonesia,10551,433,800.0,8,1591.0,0.0,102305.0,8160.0,2020-05-02
Denmark,9311,153,460.0,8,6729.0,61.0,206576.0,2122.0,2020-05-02
Serbia,9205,196,185.0,6,1379.0,65.0,91551.0,7641.0,2020-05-02
Philippines,8772,284,579.0,11,1084.0,31.0,108680.0,7109.0,2020-05-02
Bangladesh,8238,571,170.0,2,174.0,1.0,70239.0,7894.0,2020-05-02
Norway,7783,45,210.0,0,32.0,37.0,172586.0,7541.0,2020-05-02
Czechia,7737,55,240.0,4,3372.0,67.0,249634.0,4125.0,2020-05-02
Dominican Republic,7288,316,313.0,12,1387.0,144.0,25368.0,5588.0,2020-05-02
Colombia,7006,499,314.0,21,1551.0,118.0,104657.0,5141.0,2020-05-02
Australia,6767,13,93.0,1,5745.0,28.0,588868.0,929.0,2020-05-02
Panama,6532,154,188.0,10,576.0,86.0,30749.0,5768.0,2020-05-02
Malaysia,6071,69,103.0,1,4210.0,37.0,168784.0,1758.0,2020-05-02
South Africa,5951,304,116.0,13,2382.0,36.0,217522.0,3453.0,2020-05-02
Egypt,5895,358,406.0,14,1460.0,0.0,90000.0,4029.0,2020-05-02
Finland,5051,56,218.0,7,3000.0,49.0,97600.0,1833.0,2020-05-02
Morocco,4569,146,171.0,1,1083.0,1.0,37006.0,3315.0,2020-05-02
Argentina,4532,104,225.0,7,1292.0,157.0,61530.0,3015.0,2020-05-02
Kuwait,4377,353,30.0,4,1602.0,70.0,179000.0,2745.0,2020-05-02
Algeria,4154,148,453.0,3,1821.0,22.0,6500.0,1880.0,2020-05-02
Moldova,3980,83,122.0,6,1272.0,237.0,11763.0,2586.0,2020-05-02
Luxembourg,3802,18,92.0,2,3213.0,23.0,44895.0,497.0,2020-05-02
Kazakhstan,3597,195,25.0,0,922.0,40.0,268534.0,2650.0,2020-05-02
Bahrain,3170,130,8.0,0,1555.0,1.0,134082.0,1607.0,2020-05-02
Thailand,2960,6,54.0,0,2719.0,61.0,178083.0,187.0,2020-05-02
Hungary,2863,88,323.0,11,609.0,49.0,76331.0,1931.0,2020-05-02
Greece,2612,21,140.0,0,1374.0,36.0,77251.0,1098.0,2020-05-02
Oman,2447,99,11.0,0,495.0,17.0,40459.0,1941.0,2020-05-02
Afghanistan,2335,164,68.0,4,310.0,7.0,10593.0,1957.0,2020-05-02
Nigeria,2170,238,68.0,10,351.0,2.0,15759.0,1751.0,2020-05-02
Iraq,2153,68,94.0,1,1414.0,0.0,95399.0,645.0,2020-05-02
Armenia,2148,82,33.0,1,977.0,10.0,22177.0,1138.0,2020-05-02
Uzbekistan,2086,47,9.0,0,1212.0,8.0,242536.0,865.0,2020-05-02
Croatia,2085,9,75.0,6,1421.0,17.0,36917.0,589.0,2020-05-02
Ghana,2074,0,17.0,0,212.0,4.0,113497.0,1845.0,2020-05-02
Azerbaijan,1854,50,25.0,1,1365.0,17.0,146630.0,464.0,2020-05-02
Cameroon,1832,0,61.0,0,934.0,12.0,0.0,837.0,2020-05-02
Iceland,1798,1,10.0,0,1689.0,0.0,49135.0,99.0,2020-05-02
Bosnia and Herzegovina,1781,24,70.0,1,755.0,4.0,32178.0,956.0,2020-05-02
Estonia,1694,5,52.0,0,253.0,7.0,53767.0,1389.0,2020-05-02
Bulgaria,1555,49,68.0,2,276.0,43.0,46510.0,1211.0,2020-05-02
Cuba,1537,36,64.0,3,714.0,10.0,49409.0,759.0,2020-05-02
Guinea,1537,42,7.0,0,342.0,0.0,0.0,1188.0,2020-05-02
North Macedonia,1494,29,81.0,4,807.0,13.0,16798.0,606.0,2020-05-02
New Zealand,1479,3,19.0,0,1252.0,1.0,139898.0,208.0,2020-05-02
Slovenia,1434,5,92.0,1,233.0,22.0,52948.0,1109.0,2020-05-02
Slovakia,1403,7,23.0,0,558.0,5.0,91072.0,822.0,2020-05-02
Lithuania,1399,14,45.0,0,594.0,17.0,132768.0,760.0,2020-05-02
Ivory Coast,1333,58,15.0,1,597.0,0.0,10073.0,721.0,2020-05-02
Bolivia,1167,57,62.0,3,132.0,3.0,5791.0,973.0,2020-05-02
Djibouti,1097,8,2.0,0,672.0,0.0,13751.0,423.0,2020-05-02
Hong Kong,1040,2,4.0,0,859.0,4.0,154989.0,177.0,2020-05-02
Senegal,1024,91,9.0,0,356.0,1.0,466.0,659.0,2020-05-02
Tunisia,998,4,41.0,0,316.0,24.0,23526.0,641.0,2020-05-02
Latvia,870,12,16.0,1,348.0,2.0,61120.0,506.0,2020-05-02
Cyprus,857,7,15.0,0,296.0,15.0,60536.0,546.0,2020-05-02
Honduras,804,33,75.0,4,112.0,10.0,3643.0,617.0,2020-05-02
Albania,782,9,31.0,0,488.0,4.0,8498.0,263.0,2020-05-02
Kyrgyzstan,756,10,8.0,0,504.0,12.0,51472.0,244.0,2020-05-02
Andorra,745,0,43.0,1,468.0,17.0,1673.0,234.0,2020-05-02
Lebanon,729,4,24.0,0,192.0,44.0,36420.0,513.0,2020-05-02
Niger,728,9,33.0,1,478.0,0.0,5230.0,217.0,2020-05-02
Costa Rica,725,6,6.0,0,355.0,7.0,13529.0,364.0,2020-05-02
Diamond Princess,712,0,13.0,0,645.0,4.0,0.0,54.0,2020-05-02
Sri Lanka,690,27,7.0,0,162.0,1.0,22418.0,521.0,2020-05-02
Burkina Faso,649,4,44.0,1,517.0,0.0,0.0,88.0,2020-05-02
Uruguay,648,5,17.0,0,435.0,10.0,20554.0,196.0,2020-05-02
DRC,604,32,32.0,1,75.0,0.0,0.0,497.0,2020-05-02
Somalia,601,0,28.0,0,31.0,2.0,0.0,542.0,2020-05-02
Guatemala,599,14,16.0,0,66.0,5.0,7200.0,517.0,2020-05-02
San Marino,580,11,41.0,0,82.0,5.0,2386.0,457.0,2020-05-02
Georgia,566,27,7.0,1,207.0,6.0,15904.0,352.0,2020-05-02
Mayotte,539,0,4.0,0,235.0,4.0,3000.0,300.0,2020-05-02
Channel Islands,538,1,41.0,1,406.0,0.0,5342.0,91.0,2020-05-02
Mali,508,18,26.0,0,196.0,0.0,2172.0,286.0,2020-05-02
Maldives,491,23,1.0,0,17.0,2.0,8008.0,473.0,2020-05-02
Tanzania,480,0,16.0,0,167.0,7.0,0.0,297.0,2020-05-02
Malta,467,2,4.0,0,367.0,1.0,32989.0,96.0,2020-05-02
Jordan,459,6,8.0,0,364.0,5.0,78885.0,87.0,2020-05-02
Sudan,442,0,31.0,0,39.0,0.0,0.0,372.0,2020-05-02
Taiwan,429,0,6.0,0,324.0,0.0,63340.0,99.0,2020-05-02
El Salvador,424,29,10.0,0,124.0,2.0,25492.0,290.0,2020-05-02
Jamaica,422,26,8.0,1,29.0,3.0,4439.0,385.0,2020-05-02
Réunion,422,2,0.0,0,300.0,2.0,0.0,122.0,2020-05-02
